Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,7.5,kgs,20,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,5.0,kgs,20,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,6,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,5,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,4,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,12.5,kgs,6,,,
2025-04-29,Seated Cable Row,Back,15.0,kgs,20,,,
2025-04-29,Seated Cable Row,Back,25.0,kgs,7,,,
2025-04-29,Seated Cable Row,Back,30.0,kgs,7,,,
2025-04-29,Seated Cable Row,Back,35.0,kgs,5,,,
2025-04-29,Seated Cable Row,Back,35.0,kgs,5,,,
2025-04-29,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,5,,,
2025-04-29,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,5,,,
2025-04-29,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,3,,,
2025-04-29,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,2,,,
2025-04-29,Dumbbell Curl (Each Side),Biceps,10.0,kgs,6,,,
2025-04-29,Dumbbell Curl (Each Side),Biceps,8.0,kgs,6,,,
2025-04-29,Dumbbell Curl (Each Side),Biceps,8.0,kgs,6,,,
2025-04-29,Cable Overhead Triceps Extension,Triceps,15.0,kgs,5,,,
2025-04-29,Cable Overhead Triceps Extension,Triceps,10.0,kgs,2,,,
2025-04-29,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-04-29,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-04-29,Lat Pulldown,Back,30.0,kgs,15,,,
2025-04-29,Lat Pulldown,Back,40.0,kgs,8,,,
2025-04-29,Lat Pulldown,Back,45.0,kgs,2,,,
2025-04-29,Lat Pulldown,Back,40.0,kgs,3,,,
2025-04-29,Lat Pulldown,Back,40.0,kgs,5,,,
2025-04-30,Romanian Deadlift,Legs,12.0,kgs,8,,,
2025-04-30,Romanian Deadlift,Legs,12.0,kgs,8,,,
2025-04-30,Leg Extension Machine,Legs,15.0,kgs,15,,,
2025-04-30,Leg Extension Machine,Legs,35.0,kgs,6,,,
2025-04-30,Leg Extension Machine,Legs,40.0,kgs,8,,,
2025-04-30,Leg Extension Machine,Legs,50.0,kgs,7,,,
2025-04-30,Leg Extension Machine,Legs,60.0,kgs,5,,,
2025-04-30,Standing Calf Raise Machine,Legs,15.0,kgs,12,,,
2025-04-30,Standing Calf Raise Machine,Legs,20.0,kgs,10,,,
2025-04-30,Standing Calf Raise Machine,Legs,25.0,kgs,7,,,
2025-04-30,Romanian Deadlift,Legs,12.0,kgs,10,,,
2025-04-30,Romanian Deadlift,Legs,12.0,kgs,10,,,
2025-04-30,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,8,,,
2025-04-30,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,6,,,
2025-04-30,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,7,,,
2025-05-02,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,12,,,
2025-05-02,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,8,,,
2025-05-02,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,5,,,
2025-05-02,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,7,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,1.25,kgs,12,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,12,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,8,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,1.25,kgs,12,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,1.25,kgs,8,,,
2025-05-02,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,12,,,
2025-05-02,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,12.5,kgs,8,,,
2025-05-02,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,12.5,kgs,6,,,
2025-05-02,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,5,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,7.5,kgs,7,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,10.0,kgs,9,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,10.0,kgs,10,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,10.0,kgs,10,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,10.0,kgs,10,,,
2025-05-02,Cable Overhead Triceps Extension,Triceps,10.0,kgs,10,,,
2025-05-02,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-05-02,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-05-02,Smith Machine Overhead Press,Shoulders,15.0,kgs,6,,,
2025-05-02,Smith Machine Overhead Press,Shoulders,15.0,kgs,6,,,
2025-05-02,Smith Machine Overhead Press,Shoulders,10.0,kgs,6,,,
2025-05-02,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-02,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-02,Barbell Curl,Biceps,10.0,kgs,15,,,
2025-05-02,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-02,Barbell Curl,Biceps,10.0,kgs,12,,,
2025-05-03,Machine Row (Each Side),Back,15.0,kgs,11,,,
2025-05-03,Machine Row (Each Side),Back,20.0,kgs,10,,,
2025-05-03,Machine Row (Each Side),Back,25.0,kgs,10,,,
2025-05-03,Machine Row (Each Side),Back,20.0,kgs,10,,,
2025-05-03,Seated Cable Row,Back,20.0,kgs,12,,,
2025-05-03,Seated Cable Row,Back,25.0,kgs,12,,,
2025-05-03,Seated Cable Row,Back,25.0,kgs,12,,,
2025-05-03,Lat Pulldown,Back,30.0,kgs,12,,,
2025-05-03,Lat Pulldown,Back,35.0,kgs,9,,,
2025-05-03,Lat Pulldown,Back,35.0,kgs,8,,,
2025-05-03,Lat Pulldown,Back,30.0,kgs,8,,,
2025-05-03,Barbell Curl,Biceps,10.0,kgs,15,,,
2025-05-03,Barbell Curl,Biceps,10.0,kgs,12,,,
2025-05-03,Dumbbell Preacher Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Preacher Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Preacher Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-04,Leg Extension Machine,Legs,30.0,kgs,12,,,
2025-05-04,Leg Extension Machine,Legs,40.0,kgs,12,,,
2025-05-04,Leg Extension Machine,Legs,45.0,kgs,12,,,
2025-05-04,Leg Extension Machine,Legs,50.0,kgs,11,,,
2025-05-04,Lying Leg Curl Machine,Legs,15.0,kgs,12,,,
2025-05-04,Lying Leg Curl Machine,Legs,25.0,kgs,12,,,
2025-05-04,Lying Leg Curl Machine,Legs,25.0,kgs,12,,,
2025-05-04,Lying Leg Curl Machine,Legs,20.0,kgs,12,,,
2025-05-04,Sumo Deadlift,Legs,20.0,kgs,4,,,
2025-05-04,Sumo Deadlift,Legs,20.0,kgs,6,,,
2025-05-04,Sumo Deadlift,Legs,20.0,kgs,6,,,
2025-05-04,Sumo Deadlift,Legs,20.0,kgs,6,,,
2025-05-04,Standing Calf Raise Machine,Legs,20.0,kgs,15,,,
2025-05-04,Standing Calf Raise Machine,Legs,20.0,kgs,15,,,
2025-05-04,Standing Calf Raise Machine,Legs,15.0,kgs,13,,,
2025-05-05,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,10,,,
2025-05-05,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,10,,,
2025-05-05,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,10,,,
2025-05-05,Flat Dumbbell Fly,Chest,7.5,kgs,10,,,
2025-05-05,Flat Dumbbell Fly,Chest,7.5,kgs,10,,,
2025-05-05,Flat Dumbbell Fly,Chest,7.5,kgs,10,,,
2025-05-05,Incline Dumbbell Bench Press,Chest,8.0,kgs,10,,,
2025-05-05,Incline Dumbbell Bench Press,Chest,8.0,kgs,10,,,
2025-05-05,Incline Dumbbell Bench Press,Chest,12.0,kgs,8,,,
2025-05-06,Seated Cable Row,Back,25.0,kgs,16,,,
2025-05-06,Seated Cable Row,Back,30.0,kgs,8,,,
2025-05-06,Seated Cable Row,Back,35.0,kgs,7,,,
2025-05-06,Machine Row (Each Side),Back,15.0,kgs,10,,,
2025-05-06,Machine Row (Each Side),Back,25.0,kgs,10,,,
2025-05-06,Machine Row (Each Side),Back,30.0,kgs,8,,,
2025-05-06,Lat Pulldown,Back,30.0,kgs,12,,,
2025-05-06,Lat Pulldown,Back,35.0,kgs,6,,,
2025-05-06,Lat Pulldown,Back,40.0,kgs,6,,,
2025-05-07,Seated Incline Dumbbell Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-07,Seated Incline Dumbbell Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-07,Seated Incline Dumbbell Curl (Each Side),Biceps,8.0,kgs,7,,,
2025-05-07,Rope Push Down,Triceps,10.0,kgs,8,,,
2025-05-07,Rope Push Down,Triceps,10.0,kgs,8,,,
2025-05-07,Rope Push Down,Triceps,10.0,kgs,8,,,
2025-05-07,Straight-Arm Cable Pushdown,Back,5.0,kgs,8,,,
2025-05-07,Straight-Arm Cable Pushdown,Back,5.0,kgs,8,,,
2025-05-07,Straight-Arm Cable Pushdown,Back,5.0,kgs,8,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,8,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,5,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,5,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,3,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,5,,,
2025-05-07,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,2,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,6,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,8,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,10,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,6,,,
2025-05-07,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,6,,,
2025-05-07,Smith Machine Overhead Press,Shoulders,20.0,kgs,3,,,
2025-05-07,Smith Machine Overhead Press,Shoulders,15.0,kgs,3,,,
2025-05-07,Smith Machine Overhead Press,Shoulders,15.0,kgs,6,,,
2025-05-07,Smith Machine Overhead Press,Shoulders,15.0,kgs,6,,,
2025-05-07,Dumbbell Hammer Curl (Each Side),Biceps,3.5,kgs,12,,,
2025-05-07,Dumbbell Hammer Curl (Each Side),Biceps,6.0,kgs,14,,,
2025-05-07,Dumbbell Hammer Curl (Each Side),Biceps,6.0,kgs,7,,,
2025-05-07,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,3,,,
2025-05-07,Dumbbell Hammer Curl (Each Side),Biceps,7.5,kgs,6,,,
2025-05-07,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,3,,,
2025-05-07,Cable Overhead Triceps Extension,Triceps,10.0,kgs,10,,,
2025-05-07,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-05-07,Cable Overhead Triceps Extension,Triceps,10.0,kgs,10,,,
2025-05-07,Cable Overhead Triceps Extension,Triceps,10.0,kgs,10,,,
2025-05-07,Cable Overhead Triceps Extension,Triceps,10.0,kgs,11,,,
2025-05-07,Cable Overhead Triceps Extension,Triceps,10.0,kgs,10,,,
2025-05-08,Leg Extension Machine,Legs,40.0,kgs,12,,,
2025-05-08,Leg Extension Machine,Legs,50.0,kgs,10,,,
2025-05-08,Leg Extension Machine,Legs,60.0,kgs,8,,,
2025-05-08,Leg Extension Machine,Legs,65.0,kgs,8,,,
2025-05-08,Lying Leg Curl Machine,Legs,20.0,kgs,14,,,
2025-05-08,Lying Leg Curl Machine,Legs,25.0,kgs,10,,,
2025-05-08,Lying Leg Curl Machine,Legs,25.0,kgs,6,,,
2025-05-08,Seated Calf Raise Machine (Each Side),Legs,5.0,kgs,14,,,
2025-05-08,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,6,,,
2025-05-08,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,8,,,
2025-05-08,Standing Calf Raise Machine,Legs,15.0,kgs,15,,,
2025-05-08,Standing Calf Raise Machine,Legs,20.0,kgs,11,,,
2025-05-08,Standing Calf Raise Machine,Legs,30.0,kgs,7,,,
2025-05-09,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,6,,,
2025-05-09,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,6,,,
2025-05-09,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,6,,,
2025-05-09,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,14,,,
2025-05-09,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,12.5,kgs,8,,,
2025-05-09,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,12.5,kgs,8,,,
2025-05-09,Incline Hammer Strength Chest Press,Chest,10.0,kgs,8,,,
2025-05-09,Incline Hammer Strength Chest Press,Chest,15.0,kgs,7,,,
2025-05-09,Incline Hammer Strength Chest Press,Chest,15.0,kgs,5,,,
2025-05-09,Seated Machine Fly,Chest,30.0,kgs,14,,,
2025-05-09,Seated Machine Fly,Chest,40.0,kgs,3,,,
2025-05-09,Seated Machine Fly,Chest,35.0,kgs,3,,,
2025-05-09,Seated Machine Fly,Chest,25.0,kgs,3,,,
2025-05-09,Seated Machine Fly,Chest,35.0,kgs,6,,,
2025-05-09,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,10,,,
2025-05-09,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-09,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,6,,,
2025-05-09,Dumbbell Preacher Curl (Each Side),Biceps,5.0,kgs,4,,,
2025-05-09,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,8,,,
2025-05-09,Dumbbell Hammer Curl (Each Side),Biceps,3.75,kgs,14,,,
2025-05-09,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,11,,,
2025-05-09,Dumbbell Hammer Curl (Each Side),Biceps,6.0,kgs,9,,,
2025-05-09,Dumbbell Hammer Curl (Each Side),Biceps,7.5,kgs,5,,,
2025-05-09,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,3,,,
2025-05-09,Cable Lateral Raise (Each Side),Shoulders,1.25,kgs,12,,,
2025-05-09,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,10,,,
2025-05-09,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,6,,,
2025-05-09,Cable Lateral Raise (Each Side),Shoulders,1.25,kgs,4,,,
2025-05-10,Seated Cable Row,Back,15.0,kgs,15,,,
2025-05-10,Seated Cable Row,Back,25.0,kgs,15,,,
2025-05-10,Seated Cable Row,Back,35.0,kgs,10,,,
2025-05-10,Seated Cable Row,Back,40.0,kgs,5,,,
2025-05-10,Seated Cable Row,Back,30.0,kgs,3,,,
2025-05-10,Lat Pulldown,Back,25.0,kgs,12,,,
2025-05-10,Lat Pulldown,Back,35.0,kgs,12,,,
2025-05-10,Lat Pulldown,Back,40.0,kgs,8,,,
2025-05-10,Lat Pulldown,Back,35.0,kgs,7,,,
2025-05-10,Machine Row (Each Side),Back,20.0,kgs,10,,,
2025-05-10,Machine Row (Each Side),Back,30.0,kgs,8,,,
2025-05-10,Machine Row (Each Side),Back,20.0,kgs,14,,,
2025-05-10,Rope Push Down,Triceps,5.0,kgs,12,,,
2025-05-10,Rope Push Down,Triceps,7.5,kgs,12,,,
2025-05-10,Rope Push Down,Triceps,10.0,kgs,10,,,
2025-05-10,Cable Overhead Triceps Extension,Triceps,10.0,kgs,8,,,
2025-05-10,Cable Overhead Triceps Extension,Triceps,10.0,kgs,8,,,
2025-05-10,Cable Overhead Triceps Extension,Triceps,10.0,kgs,8,,,
2025-05-10,Cable Overhead Triceps Extension,Triceps,10.0,kgs,8,,,
2025-05-10,V-Bar Push Down,Triceps,10.0,kgs,8,,,
2025-05-10,V-Bar Push Down,Triceps,12.5,kgs,6,,,
2025-05-13,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,12,,,
2025-05-13,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,5,,,
2025-05-13,Overhead Press (Each Side, Dumbbells),Shoulders,12.0,kgs,6,,,
2025-05-13,Overhead Press (Each Side, Dumbbells),Shoulders,12.0,kgs,5,,,
2025-05-13,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,8,,,
2025-05-13,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,5.0,kgs,8,,,
2025-05-13,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,5.0,kgs,8,,,
2025-05-13,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,8,,,
2025-05-13,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,20.0,kgs,1,,,
2025-05-13,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,17.5,kgs,4,,,
2025-05-13,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,6,,,
2025-05-13,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,4,,,
2025-05-13,Seated Machine Fly,Chest,40.0,kgs,8,,,
2025-05-13,Seated Machine Fly,Chest,30.0,kgs,6,,,
2025-05-13,Seated Machine Fly,Chest,40.0,kgs,6,,,
2025-05-13,Seated Machine Fly,Chest,35.0,kgs,6,,,
2025-05-13,Lat Pulldown,Back,35.0,kgs,6,,,
2025-05-13,Lat Pulldown,Back,40.0,kgs,9,,,
2025-05-13,Lat Pulldown,Back,50.0,kgs,6,,,
2025-05-13,Lat Pulldown,Back,45.0,kgs,6,,,
2025-05-13,Seated Cable Row,Back,30.0,kgs,7,,,
2025-05-13,Seated Cable Row,Back,30.0,kgs,3,,,
2025-05-13,Seated Cable Row,Back,40.0,kgs,3,,,
2025-05-13,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-13,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-13,Dumbbell Preacher Curl (Each Side),Biceps,8.0,kgs,8,,,
2025-05-13,V-Bar Push Down,Triceps,10.0,kgs,12,,,
2025-05-13,V-Bar Push Down,Triceps,10.0,kgs,15,,,
2025-05-13,V-Bar Push Down,Triceps,10.0,kgs,13,,,
2025-05-13,Cable Overhead Triceps Extension,Triceps,10.0,kgs,7,,,
2025-05-13,Cable Overhead Triceps Extension,Triceps,10.0,kgs,7,,,
2025-05-13,Cable Overhead Triceps Extension,Triceps,10.0,kgs,9,,,
2025-05-15,Lying Leg Curl Machine,Legs,10.0,kgs,12,,,
2025-05-15,Lying Leg Curl Machine,Legs,25.0,kgs,16,,,
2025-05-15,Lying Leg Curl Machine,Legs,32.0,kgs,6,,,
2025-05-15,Lying Leg Curl Machine,Legs,20.0,kgs,4,,,
2025-05-15,Lying Leg Curl Machine,Legs,20.0,kgs,6,,,
2025-05-15,Seated Calf Raise Machine (Each Side),Legs,5.0,kgs,12,,,
2025-05-15,Seated Calf Raise Machine (Each Side),Legs,7.5,kgs,12,,,
2025-05-15,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,12,,,
2025-05-15,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,8,,,
2025-05-15,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,6,,,
2025-05-15,Standing Calf Raise Machine,Legs,20.0,kgs,15,,,
2025-05-15,Standing Calf Raise Machine,Legs,30.0,kgs,12,,,
2025-05-15,Standing Calf Raise Machine,Legs,30.0,kgs,10,,,
2025-05-15,Sumo Deadlift,Legs,10.0,kgs,6,,,
2025-05-15,Sumo Deadlift,Legs,10.0,kgs,8,,,
2025-05-15,Sumo Deadlift,Legs,10.0,kgs,10,,,
2025-05-16,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,5.0,kgs,15,,,
2025-05-16,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,12,,,
2025-05-16,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,15.0,kgs,5,,,
2025-05-16,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,4,,,
2025-05-16,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,12.5,kgs,9,,,
2025-05-16,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,12,,,
2025-05-16,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,7,,,
2025-05-16,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,7,,,
2025-05-16,Chest Press Machine,Chest,35.0,kgs,12,,,
2025-05-16,Chest Press Machine,Chest,40.0,kgs,10,,,
2025-05-16,Chest Press Machine,Chest,45.0,kgs,5,,,
2025-05-16,Triceps Pushdown,Triceps,7.5,kgs,12,,,
2025-05-16,Triceps Pushdown,Triceps,10.0,kgs,9,,,
2025-05-16,Triceps Pushdown,Triceps,12.0,kgs,6,,,
2025-05-16,Cable Overhead Triceps Extension,Triceps,10.0,kgs,12,,,
2025-05-16,Cable Overhead Triceps Extension,Triceps,15.0,kgs,6,,,
2025-05-16,Cable Overhead Triceps Extension,Triceps,10.0,kgs,12,,,
2025-05-16,Cable Overhead Triceps Extension,Triceps,10.0,kgs,8,,,
2025-05-16,V-Bar Push Down,Triceps,15.0,kgs,6,,,
2025-05-16,Seated Machine Fly,Chest,30.0,kgs,12,,,
2025-05-16,Seated Machine Fly,Chest,40.0,kgs,9,,,
2025-05-16,Seated Machine Fly,Chest,40.0,kgs,6,,,
2025-05-17,Seated Cable Row,Back,20.0,kgs,12,,,
2025-05-17,Seated Cable Row,Back,35.0,kgs,11,,,
2025-05-17,Seated Cable Row,Back,35.0,kgs,6,,,
2025-05-17,Dumbbell Curl (Each Side),Biceps,8.0,kgs,12,,,
2025-05-17,Dumbbell Curl (Each Side),Biceps,10.0,kgs,8,,,
2025-05-17,Dumbbell Curl (Each Side),Biceps,10.0,kgs,8,,,
2025-05-17,Dumbbell Hammer Curl (Each Side),Biceps,3.75,kgs,15,,,
2025-05-17,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,10,,,
2025-05-17,Dumbbell Hammer Curl (Each Side),Biceps,6.0,kgs,10,,,
2025-05-17,Lat Pulldown,Back,30.0,kgs,12,,,
2025-05-17,Lat Pulldown,Back,50.0,kgs,3,,,
2025-05-17,Lat Pulldown,Back,40.0,kgs,4,,,
2025-05-17,Lat Pulldown,Back,35.0,kgs,8,,,
2025-05-17,Machine Row (Each Side),Back,15.0,kgs,12,,,
2025-05-17,Machine Row (Each Side),Back,30.0,kgs,11,,,
2025-05-17,Machine Row (Each Side),Back,35.0,kgs,6,,,
2025-05-17,Machine Overhead Press,Shoulders,15.0,kgs,12,,,
2025-05-17,Machine Overhead Press,Shoulders,35.0,kgs,10,,,
2025-05-17,Machine Overhead Press,Shoulders,40.0,kgs,4,,,
2025-05-17,Machine Overhead Press,Shoulders,35.0,kgs,6,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,5.0,kgs,12,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,18,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,17.5,kgs,4,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,5,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,8,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,4,,,
2025-05-20,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,5,,,
2025-05-20,Seated Machine Fly,Chest,25.0,kgs,12,,,
2025-05-20,Seated Machine Fly,Chest,40.0,kgs,7,,,
2025-05-20,Seated Machine Fly,Chest,40.0,kgs,9,,,
